Title,CPI INDEX: Energy (G) 2015=100
CDID,DK9T
Source dataset ID,MM23
PreUnit,
Unit,"Index, base year = 100"
Release date,18-06-2025
Next release,16 July 2025
Important notes,
1988,29.9
1989,31.8
1990,34.8
1991,37.5
1992,38.5
1993,39.5
1994,41.2
1995,42.7
1996,43.7
1997,45.1
1998,45.2
1999,47.2
2000,50.6
2001,49.2
2002,48.8
2003,50.1
2004,53.2
2005,59.1
2006,67.8
2007,71.4
2008,83.6
2009,83.7
2010,88.8
2011,99.7
2012,104.6
2013,108.1
2014,108.3
2015,100.0
2016,97.5
2017,103.4
2018,110.5
2019,112.9
2020,105.5
2021,115.0
2022,169.6
2023,178.3
2024,155.0
1988 Q1,29.1
1988 Q2,29.8
1988 Q3,30.4
1988 Q4,30.4
1989 Q1,30.6
1989 Q2,32.0
1989 Q3,32.2
1989 Q4,32.3
1990 Q1,32.5
1990 Q2,34.1
1990 Q3,35.7
1990 Q4,36.8
1991 Q1,35.5
1991 Q2,37.7
1991 Q3,38.5
1991 Q4,38.4
1992 Q1,37.7
1992 Q2,38.7
1992 Q3,38.5
1992 Q4,39.0
1993 Q1,38.9
1993 Q2,39.8
1993 Q3,39.5
1993 Q4,39.6
1994 Q1,39.8
1994 Q2,41.5
1994 Q3,41.9
1994 Q4,41.7
1995 Q1,42.4
1995 Q2,42.8
1995 Q3,42.8
1995 Q4,42.6
1996 Q1,43.2
1996 Q2,43.2
1996 Q3,43.6
1996 Q4,44.8
1997 Q1,44.9
1997 Q2,44.6
1997 Q3,45.6
1997 Q4,45.2
1998 Q1,44.6
1998 Q2,45.7
1998 Q3,45.5
1998 Q4,45.2
1999 Q1,45.1
1999 Q2,47.2
1999 Q3,48.0
1999 Q4,48.7
2000 Q1,49.5
2000 Q2,50.6
2000 Q3,51.1
2000 Q4,51.0
2001 Q1,49.3
2001 Q2,49.9
2001 Q3,49.8
2001 Q4,47.9
2002 Q1,47.8
2002 Q2,49.2
2002 Q3,49.0
2002 Q4,49.2
2003 Q1,50.2
2003 Q2,49.9
2003 Q3,50.0
2003 Q4,50.3
2004 Q1,51.0
2004 Q2,52.9
2004 Q3,53.5
2004 Q4,55.5
2005 Q1,55.9
2005 Q2,58.0
2005 Q3,60.5
2005 Q4,62.0
2006 Q1,62.9
2006 Q2,68.3
2006 Q3,70.3
2006 Q4,69.5
2007 Q1,70.5
2007 Q2,71.8
2007 Q3,70.7
2007 Q4,72.7
2008 Q1,77.4
2008 Q2,83.4
2008 Q3,88.0
2008 Q4,85.5
2009 Q1,81.8
2009 Q2,82.6
2009 Q3,84.5
2009 Q4,85.9
2010 Q1,87.8
2010 Q2,89.3
2010 Q3,88.1
2010 Q4,90.0
2011 Q1,95.9
2011 Q2,98.4
2011 Q3,100.1
2011 Q4,104.4
2012 Q1,104.9
2012 Q2,104.4
2012 Q3,103.7
2012 Q4,105.4
2013 Q1,108.4
2013 Q2,107.8
2013 Q3,108.4
2013 Q4,107.9
2014 Q1,109.5
2014 Q2,109.0
2014 Q3,108.7
2014 Q4,105.8
2015 Q1,100.4
2015 Q2,101.9
2015 Q3,100.3
2015 Q4,97.4
2016 Q1,94.6
2016 Q2,96.9
2016 Q3,98.3
2016 Q4,100.3
2017 Q1,102.5
2017 Q2,102.5
2017 Q3,103.1
2017 Q4,105.4
2018 Q1,106.3
2018 Q2,109.0
2018 Q3,112.6
2018 Q4,114.2
2019 Q1,107.9
2019 Q2,115.8
2019 Q3,115.7
2019 Q4,112.2
2020 Q1,111.3
2020 Q2,103.4
2020 Q3,105.5
2020 Q4,102.0
2021 Q1,105.0
2021 Q2,112.8
2021 Q3,115.3
2021 Q4,126.7
2022 Q1,130.8
2022 Q2,173.8
2022 Q3,176.6
2022 Q4,197.3
2023 Q1,192.0
2023 Q2,186.6
2023 Q3,169.9
2023 Q4,164.5
2024 Q1,165.5
2024 Q2,156.4
2024 Q3,147.1
2024 Q4,150.9
2025 Q1,153.7
1988 JAN,29.2
1988 FEB,29.1
1988 MAR,29.0
1988 APR,29.5
