Date,Food_Growth_%,Energy_Index,Housing_Growth_%,Energy_Growth_%
2015-01-01,0.3,100.5,0.5,0.0
2015-02-01,0.0,99.9,0.4,-0.6
2015-03-01,0.0,100.7,0.3,0.2
2015-04-01,-0.1,101.3,0.3,0.8
2015-05-01,0.1,102.0,0.4,1.49
2015-06-01,0.0,102.3,0.3,1.79
2015-07-01,0.1,102.0,0.5,1.49
2015-08-01,0.0,100.4,0.4,-0.1
2015-09-01,-0.1,98.6,0.2,-1.89
2015-10-01,-0.1,98.2,0.2,-2.29
2015-11-01,0.1,97.7,0.4,-2.79
2015-12-01,0.2,96.4,0.5,-4.08
2016-01-01,0.3,95.0,0.6,-5.47
2016-02-01,0.3,94.4,0.6,-6.07
2016-03-01,0.5,94.4,0.8,-6.07
2016-04-01,0.3,95.7,0.7,-4.78
2016-05-01,0.3,97.0,0.7,-3.48
2016-06-01,0.5,98.2,0.8,-2.29
2016-07-01,0.6,98.5,0.9,-1.99
2016-08-01,0.6,97.8,1.0,-2.69
2016-09-01,1.0,98.5,1.3,-1.99
2016-10-01,0.9,99.9,1.3,-0.6
2016-11-01,1.2,100.6,1.5,0.1
2016-12-01,1.6,100.5,1.8,0.0
2017-01-01,1.8,102.2,1.9,1.69
2017-02-01,2.3,102.8,2.3,2.29
2017-03-01,2.3,102.6,2.3,2.09
2017-04-01,2.7,102.3,2.6,1.79
2017-05-01,2.9,102.9,2.7,2.39
2017-06-01,2.6,102.4,2.6,1.89
2017-07-01,2.6,102.2,2.6,1.69
2017-08-01,2.9,103.0,2.7,2.49
2017-09-01,3.0,104.1,2.8,3.58
2017-10-01,3.0,104.6,2.8,4.08
2017-11-01,3.1,105.6,2.8,5.07
2017-12-01,3.0,106.1,2.7,5.57
2018-01-01,3.0,106.5,2.7,5.97
2018-02-01,2.7,106.5,2.5,5.97
2018-03-01,2.5,105.9,2.3,5.37
2018-04-01,2.4,106.9,2.2,6.37
2018-05-01,2.4,108.8,2.3,8.26
2018-06-01,2.4,111.2,2.3,10.65
2018-07-01,2.5,111.7,2.3,11.14
2018-08-01,2.7,112.2,2.4,11.64
2018-09-01,2.4,113.8,2.2,13.23
2018-10-01,2.4,115.5,2.2,14.93
2018-11-01,2.3,114.8,2.2,14.23
2018-12-01,2.1,112.3,2.0,11.74
2019-01-01,1.8,107.8,1.8,7.26
2019-02-01,1.9,107.7,1.8,7.16
2019-03-01,1.9,108.3,1.8,7.76
2019-04-01,2.1,114.9,2.0,14.33
2019-05-01,2.0,116.5,1.9,15.92
2019-06-01,2.0,116.2,1.9,15.62
2019-07-01,2.1,115.6,2.0,15.02
2019-08-01,1.7,115.9,1.7,15.32
2019-09-01,1.7,115.6,1.7,15.02
2019-10-01,1.5,112.6,1.5,12.04
2019-11-01,1.5,112.2,1.5,11.64
2019-12-01,1.3,111.9,1.4,11.34
2020-01-01,1.8,113.0,1.8,12.44
2020-02-01,1.7,111.6,1.7,11.04
2020-03-01,1.5,109.2,1.5,8.66
2020-04-01,0.8,104.2,0.9,3.68
2020-05-01,0.5,103.0,0.7,2.49
2020-06-01,0.6,103.1,0.8,2.59
2020-07-01,1.0,105.0,1.1,4.48
2020-08-01,0.2,105.6,0.5,5.07
2020-09-01,0.5,105.7,0.7,5.17
2020-10-01,0.7,102.0,0.9,1.49
2020-11-01,0.3,101.7,0.6,1.19
2020-12-01,0.6,102.5,0.8,1.99
2021-01-01,0.7,103.5,0.9,2.99
2021-02-01,0.4,105.0,0.7,4.48
2021-03-01,0.7,106.5,1.0,5.97
2021-04-01,1.5,111.9,1.6,11.34
2021-05-01,2.1,112.7,2.1,12.14
2021-06-01,2.5,113.7,2.4,13.13
2021-07-01,2.0,114.8,2.1,14.23
2021-08-01,3.2,115.5,3.0,14.93
2021-09-01,3.1,115.7,2.9,15.12
2021-10-01,4.2,124.7,3.8,24.08
2021-11-01,5.1,127.6,4.6,26.97
2021-12-01,5.4,127.6,4.8,26.97
2022-01-01,5.5,127.6,4.9,26.97
2022-02-01,6.2,128.9,5.5,28.26
2022-03-01,7.0,135.9,6.2,35.22
2022-04-01,9.0,170.3,7.8,69.45
2022-05-01,9.1,172.1,7.9,71.24
2022-06-01,9.4,178.9,8.2,78.01
2022-07-01,10.1,181.2,8.8,80.3
2022-08-01,9.9,175.6,8.6,74.73
2022-09-01,10.1,173.1,8.8,72.24
2022-10-01,11.1,198.4,9.6,97.41
2022-11-01,10.7,198.7,9.3,97.71
2022-12-01,10.5,195.0,9.2,94.03
2023-01-01,10.1,193.0,8.8,92.04
2023-02-01,10.4,192.0,9.2,91.04
2023-03-01,10.1,191.0,8.9,90.05
2023-04-01,8.7,188.6,7.8,87.66
2023-05-01,8.7,186.6,7.9,85.67
2023-06-01,7.9,184.6,7.3,83.68
