Consumer Price Index for Urban Wage Earners and Clerical Workers (CPI-W),,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Series Id:,CWUR0000SA0E,,,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,,,
Series Title:,"Energy in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",,,,,,,,,,,,,
Area:,U.S. city average,,,,,,,,,,,,,
Item:,Energy,,,,,,,,,,,,,
Base Period:,1982-84=100,,,,,,,,,,,,,
Years:,2015 to 2025,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,HALF1,HALF2
2015,190.941,195.436,204.335,203.430,214.808,221.313,220.361,213.337,200.968,193.844,188.393,182.168,205.044,199.845
2016,178.755,170.132,177.630,184.624,191.895,199.500,194.868,192.303,194.654,193.715,190.106,192.103,183.756,192.958
2017,198.579,197.074,197.594,202.011,202.027,203.380,201.183,204.783,215.126,206.393,208.704,205.554,200.111,206.957
2018,209.700,212.601,211.696,218.573,227.253,229.553,227.273,227.117,226.333,225.965,215.267,204.327,218.229,221.047
2019,198.735,201.171,210.922,222.562,226.114,221.237,222.509,216.638,214.986,215.943,214.004,212.138,213.457,216.036
2020,212.106,207.313,198.193,180.701,180.999,191.706,196.169,195.944,197.428,194.954,192.499,196.335,195.170,195.555
2021,203.727,212.098,225.420,228.861,235.404,240.908,245.157,246.935,248.485,255.485,259.245,256.048,224.403,251.893
2022,259.954,267.677,300.079,300.087,318.929,344.210,327.796,305.879,297.343,300.730,292.029,272.372,298.489,299.358
2023,281.404,280.098,278.248,283.757,280.151,283.964,285.068,295.157,296.707,286.777,275.873,267.514,281.270,284.516
2024,268.375,274.784,284.395,290.951,290.032,285.711,287.135,281.388,274.106,271.322,266.058,265.478,282.375,274.248
2025,270.465,273.396,273.457,278.221,278.250,,,,,,,,,
