Consumer Price Index for Urban Wage Earners and Clerical Workers (CPI-W),,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Series Id:,CWUR0000SAF11,,,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,,,
Series Title:,"Food at home in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",,,,,,,,,,,,,
Area:,U.S. city average,,,,,,,,,,,,,
Item:,Food at home,,,,,,,,,,,,,
Base Period:,1982-84=100,,,,,,,,,,,,,
Years:,2015 to 2025,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,HALF1,HALF2
2015,242.358,242.026,240.896,240.587,240.200,240.826,241.466,242.163,242.751,242.970,241.349,240.433,241.149,241.855
2016,240.924,241.006,239.395,239.730,238.341,237.570,237.382,237.238,237.326,237.317,235.998,235.574,239.494,236.806
2017,236.372,236.915,237.272,237.624,237.894,237.463,238.094,238.096,238.392,238.717,237.524,237.691,237.257,238.086
2018,238.966,238.327,238.272,239.262,238.285,238.261,238.912,239.205,239.371,239.070,238.631,239.210,238.562,239.067
2019,240.630,241.245,241.693,241.154,241.256,240.642,240.664,240.490,240.807,241.670,240.863,241.033,241.103,240.921
2020,242.411,243.305,244.363,251.055,253.467,254.653,252.231,251.858,250.765,251.356,249.776,250.566,248.209,251.092
2021,251.445,252.128,252.698,254.252,255.085,257.053,258.885,259.568,262.641,265.368,266.272,267.402,253.777,263.356
2022,270.459,274.307,278.540,282.064,285.826,288.837,292.737,294.836,296.642,298.119,298.140,298.793,280.006,296.545
2023,300.985,301.963,301.300,301.898,302.052,302.071,303.138,303.517,303.698,304.522,302.950,302.702,301.712,303.421
2024,304.676,305.014,305.221,305.383,305.409,305.550,306.409,306.297,307.693,307.838,307.651,308.197,305.209,307.348
2025,310.828,311.043,312.738,311.496,311.932,,,,,,,,,
