Consumer Price Index for Urban Wage Earners and Clerical Workers (CPI-W),,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Series Id:,CWUR0000SAH,,,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,,,
Series Title:,"Housing in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",,,,,,,,,,,,,
Area:,U.S. city average,,,,,,,,,,,,,
Item:,Housing,,,,,,,,,,,,,
Base Period:,1982-84=100,,,,,,,,,,,,,
Years:,2015 to 2025,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,HALF1,HALF2
2015,232.167,232.601,232.900,233.139,233.512,235.032,235.424,235.747,236.088,235.733,235.695,235.946,233.225,235.772
2016,236.811,237.246,237.658,237.904,238.883,240.424,241.153,241.692,242.369,242.392,242.443,243.031,238.154,242.180
2017,244.133,244.847,245.098,245.601,246.454,247.854,248.173,248.900,249.261,249.267,249.487,250.238,245.665,249.221
2018,251.133,251.946,252.449,253.015,253.940,254.840,255.345,256.061,256.076,256.405,256.739,257.605,252.887,256.372
2019,258.480,259.071,259.803,260.333,260.983,262.337,262.981,263.156,263.734,263.786,263.944,264.317,260.168,263.653
2020,265.528,266.227,266.266,266.340,267.019,268.062,268.646,269.090,269.391,269.363,269.743,270.084,266.574,269.386
2021,270.589,271.341,272.104,273.199,274.641,276.339,277.424,278.304,279.770,281.548,282.461,283.659,273.036,280.528
2022,286.121,287.639,289.577,291.285,293.946,297.309,298.842,301.184,303.281,304.389,305.277,307.346,290.980,303.387
2023,310.622,311.833,312.740,313.432,314.256,316.138,317.162,318.045,319.668,320.321,321.136,322.160,313.170,319.749
2024,324.634,326.006,327.430,327.834,328.809,330.017,331.040,331.829,332.743,333.545,334.158,334.990,327.455,333.051
2025,336.927,338.229,339.579,340.673,341.783,,,,,,,,,
