Date,Food_Index,Energy_Index,Housing_Index,Food_Growth_%,Energy_Growth_%,Housing_Growth_%
2015-01-01,232.167,190.941,242.358,0.0,0.0,0.0
2015-02-01,232.601,195.436,242.026,0.19,2.35,-0.14
2015-03-01,232.9,204.335,240.896,0.32,7.01,-0.6
2015-04-01,233.139,203.43,240.587,0.42,6.54,-0.73
2015-05-01,233.512,214.808,240.2,0.58,12.5,-0.89
2015-06-01,235.032,221.313,240.826,1.23,15.91,-0.63
2015-07-01,235.424,220.361,241.466,1.4,15.41,-0.37
2015-08-01,235.747,213.337,242.163,1.54,11.73,-0.08
2015-09-01,236.088,200.968,242.751,1.69,5.25,0.16
2015-10-01,235.733,193.844,242.97,1.54,1.52,0.25
2015-11-01,235.695,188.393,241.349,1.52,-1.33,-0.42
2015-12-01,235.946,182.168,240.433,1.63,-4.59,-0.79
2016-01-01,236.811,178.755,240.924,2.0,-6.38,-0.59
2016-02-01,237.246,170.132,241.006,2.19,-10.9,-0.56
2016-03-01,237.658,177.63,239.395,2.37,-6.97,-1.22
2016-04-01,237.904,184.624,239.73,2.47,-3.31,-1.08
2016-05-01,238.883,191.895,238.341,2.89,0.5,-1.66
2016-06-01,240.424,199.5,237.57,3.56,4.48,-1.98
2016-07-01,241.153,194.868,237.382,3.87,2.06,-2.05
2016-08-01,241.692,192.303,237.238,4.1,0.71,-2.11
2016-09-01,242.369,194.654,237.326,4.39,1.94,-2.08
2016-10-01,242.392,193.715,237.317,4.4,1.45,-2.08
2016-11-01,242.443,190.106,235.998,4.43,-0.44,-2.62
2016-12-01,243.031,192.103,235.574,4.68,0.61,-2.8
2017-01-01,244.133,198.579,236.372,5.15,4.0,-2.47
2017-02-01,244.847,197.074,236.915,5.46,3.21,-2.25
2017-03-01,245.098,197.594,237.272,5.57,3.48,-2.1
2017-04-01,245.601,202.011,237.624,5.79,5.8,-1.95
2017-05-01,246.454,202.027,237.894,6.15,5.81,-1.84
2017-06-01,247.854,203.38,237.463,6.76,6.51,-2.02
2017-07-01,248.173,201.183,238.094,6.89,5.36,-1.76
2017-08-01,248.9,204.783,238.096,7.21,7.25,-1.76
2017-09-01,249.261,215.126,238.392,7.36,12.67,-1.64
2017-10-01,249.267,206.393,238.717,7.37,8.09,-1.5
2017-11-01,249.487,208.704,237.524,7.46,9.3,-1.99
2017-12-01,250.238,205.554,237.691,7.78,7.65,-1.93
2018-01-01,251.133,209.7,238.966,8.17,9.82,-1.4
2018-02-01,251.946,212.601,238.327,8.52,11.34,-1.66
2018-03-01,252.449,211.696,238.272,8.74,10.87,-1.69
2018-04-01,253.015,218.573,239.262,8.98,14.47,-1.28
2018-05-01,253.94,227.253,238.285,9.38,19.02,-1.68
2018-06-01,254.84,229.553,238.261,9.77,20.22,-1.69
2018-07-01,255.345,227.273,238.912,9.98,19.03,-1.42
2018-08-01,256.061,227.117,239.205,10.29,18.95,-1.3
2018-09-01,256.076,226.333,239.371,10.3,18.54,-1.23
2018-10-01,256.405,225.965,239.07,10.44,18.34,-1.36
2018-11-01,256.739,215.267,238.631,10.58,12.74,-1.54
2018-12-01,257.605,204.327,239.21,10.96,7.01,-1.3
2019-01-01,258.48,198.735,240.63,11.33,4.08,-0.71
2019-02-01,259.071,201.171,241.245,11.59,5.36,-0.46
2019-03-01,259.803,210.922,241.693,11.9,10.46,-0.27
2019-04-01,260.333,222.562,241.154,12.13,16.56,-0.5
2019-05-01,260.983,226.114,241.256,12.41,18.42,-0.45
2019-06-01,262.337,221.237,240.642,12.99,15.87,-0.71
2019-07-01,262.981,222.509,240.664,13.27,16.53,-0.7
2019-08-01,263.156,216.638,240.49,13.35,13.46,-0.77
2019-09-01,263.734,214.986,240.807,13.6,12.59,-0.64
2019-10-01,263.786,215.943,241.67,13.62,13.09,-0.28
2019-11-01,263.944,214.004,240.863,13.69,12.08,-0.62
2019-12-01,264.317,212.138,241.033,13.85,11.1,-0.55
2020-01-01,265.528,212.106,242.411,14.37,11.08,0.02
2020-02-01,266.227,207.313,243.305,14.67,8.57,0.39
2020-03-01,266.266,198.193,244.363,14.69,3.8,0.83
2020-04-01,266.34,180.701,251.055,14.72,-5.36,3.59
2020-05-01,267.019,180.999,253.467,15.01,-5.21,4.58
2020-06-01,268.062,191.706,254.653,15.46,0.4,5.07
2020-07-01,268.646,196.169,252.231,15.71,2.74,4.07
2020-08-01,269.09,195.944,251.858,15.9,2.62,3.92
2020-09-01,269.391,197.428,250.765,16.03,3.4,3.47
2020-10-01,269.363,194.954,251.356,16.02,2.1,3.71
2020-11-01,269.743,192.499,249.776,16.18,0.82,3.06
2020-12-01,270.084,196.335,250.566,16.33,2.82,3.39
2021-01-01,270.589,203.727,251.445,16.55,6.7,3.75
2021-02-01,271.341,212.098,252.128,16.87,11.08,4.03
2021-03-01,272.104,225.42,252.698,17.2,18.06,4.27
2021-04-01,273.199,228.861,254.252,17.67,19.86,4.91
2021-05-01,274.641,235.404,255.085,18.29,23.29,5.25
2021-06-01,276.339,240.908,257.053,19.03,26.17,6.06
2021-07-01,277.424,245.157,258.885,19.49,28.39,6.82
2021-08-01,278.304,246.935,259.568,19.87,29.33,7.1
2021-09-01,279.77,248.485,262.641,20.5,30.14,8.37
2021-10-01,281.548,255.485,265.368,21.27,33.8,9.49
2021-11-01,282.461,259.245,266.272,21.66,35.77,9.87
2021-12-01,283.659,256.048,267.402,22.18,34.1,10.33
2022-01-01,286.121,259.954,270.459,23.24,36.14,11.59
2022-02-01,287.639,267.677,274.307,23.89,40.19,13.18
