Date,FTSE SmallCap,FTSE AllShare,FTSE 100,Open_NASDAQ,High_NASDAQ,Low_NASDAQ,NASDAQ_Close/Last,Open_NIFTY,High_NIFTY,Low_NIFTY,NIFTY_Close_x
05-05-2015,4655.603034,3744.864385,6927.577143,4464.21,4472.23,4407.27,4409.39,8338.4,8355.65,8280.6,8324.8
06-05-2015,4666.584641,3746.500378,6933.73816,4420.3,4429.96,4349.93,4379.75,8316.6,8331.95,8083,8097
07-05-2015,4629.01234,3726.246393,6886.949673,4377.81,4413.73,4373.29,4401.55,8077,8122.6,7997.15,8057.3
08-05-2015,4695.349833,3814.448611,7046.823511,4445,4466.17,4441.73,4458.65,8131.5,8224.95,8123.45,8191.5
11-05-2015,4720.11568,3805.483209,7029.849401,4457.62,4468.75,4437.53,4438.64,8243.2,8332.75,8224.65,8325.25
12-05-2015,4686.892908,3756.45254,6933.798385,4412.82,4441.4,4380.52,4420.65,8326.15,8326.65,8115.3,8126.95
13-05-2015,4705.05688,3769.694128,6949.629183,4436.08,4460.54,4421.75,4426.56,8181.55,8254.95,8089.8,8235.45
14-05-2015,4714.849827,3782.486715,6973.036018,4461.07,4496.25,4448.38,4495.04,8232.45,8236.25,8137.3,8224.2
15-05-2015,4710.134635,3779.957282,6960.486524,4505.39,4509.13,4482.55,4494.29,8240.3,8279.2,8212.2,8262.35
18-05-2015,4734.352612,3784.334572,6968.871705,4487.14,4521.01,4483.76,4512.95,8284.95,8384.6,8271.95,8373.65
19-05-2015,4752.545893,3801.504781,6995.099553,4514.66,4521.85,4498.53,4503.72,8356.2,8427.8,8335,8365.65
20-05-2015,4764.807005,3805.773519,7007.263938,4505.59,4533.92,4484.52,4505.3,8392.65,8440.35,8391.45,8423.25
21-05-2015,4762.955317,3809.08274,7013.474251,4499.42,4537.28,4495.39,4529.47,8434.5,8446.35,8382.5,8421
22-05-2015,4781.184116,3818.840532,7031.721175,4522.86,4542.46,4522.61,4527.16,8432.5,8489.55,8420.6,8458.95
26-05-2015,4773.603452,3779.299351,6948.992171,4516.63,4521.85,4456.76,4472.96,8377.1,8378.9,8320.05,8339.35
27-05-2015,4783.679161,3821.130047,7033.328567,4488.05,4551.53,4479.74,4546.06,8302.75,8342.85,8277.95,8334.6
28-05-2015,4792.409895,3824.667084,7040.923737,4537.48,4548.24,4523.55,4535.66,8345.7,8364.5,8270.15,8319
29-05-2015,4790.475113,3797.117932,6984.426965,4532.15,4539.57,4499.65,4508.25,8327.1,8443.9,8305.7,8433.65
01-06-2015,4808.98871,3786.372197,6953.582296,4530.03,4535.43,4488.17,4521.85,8417.25,8467.15,8405.4,8433.4
02-06-2015,4816.526351,3775.516452,6928.268328,4503.76,4531.08,4486.19,4508.89,8442.8,8445.35,8226.05,8236.45
03-06-2015,4822.609974,3786.843386,6950.460465,4531.04,4539.36,4512.44,4519.86,8232.45,8236.7,8094.15,8135.1
04-06-2015,4796.236468,3740.393952,6859.23771,4501.73,4526.21,4475.05,4487.03,8155.15,8160.05,8056.75,8130.65
05-06-2015,4796.257148,3711.104577,6804.596692,4483.43,4493.43,4452.32,4477.19,8119.15,8191,8100.15,8114.7
08-06-2015,4786.549771,3702.68763,6790.041487,4476.69,4477.83,4423.8,4431.51,8124.35,8131,8030.55,8044.15
09-06-2015,4768.903992,3685.063545,6753.796258,4421.02,4441.62,4392.45,4427.61,8026.5,8057.15,8005.15,8022.4
10-06-2015,4770.019872,3724.999461,6830.273334,4440.54,4497.51,4435.29,4485.46,8024.15,8152.25,8023.8,8124.45
11-06-2015,4775.370693,3734.358634,6846.744097,4498.49,4511.32,4483.84,4488.47,8157.3,8163.05,7958.25,7965.35
12-06-2015,4754.694411,3702.010522,6784.915474,4467.38,4476.21,4449.21,4453.79,7959.85,7995.6,7940.3,7982.9
15-06-2015,4713.700932,3660.912375,6710.52243,4416.14,4437.97,4396.13,4432.92,7986.6,8057.7,7944.85,8013.9
16-06-2015,4708.433677,3660.841009,6710.096351,4428.3,4463.2,4426.19,4455.9,8004.2,8061.85,7952.35,8047.3
17-06-2015,4735.86,3647.626746,6680.549448,4465.17,4482.27,4441.34,4468.98,8084.2,8136.85,8048.95,8091.55
18-06-2015,4731.352403,3658.528863,6707.881842,4483.61,4540.69,4483.61,4531.85,8113.7,8186.9,8101.8,8174.6
19-06-2015,4713.164309,3660.058201,6710.447739,4538.71,4539.49,4511.21,4513.42,8201.15,8250.8,8195.65,8224.95
22-06-2015,4750.743147,3718.177195,6825.668582,4541.85,4557.98,4534.76,4544.04,8259.3,8369.45,8257.4,8353.1
23-06-2015,4756.895115,3725.477603,6834.870459,4549.52,4551.77,4529.99,4548.74,8377.45,8398.45,8334.95,8381.55
24-06-2015,4766.810223,3727.592398,6844.798073,4542.07,4561.64,4523.9,4524.6,8399.4,8421.35,8338.9,8360.85
25-06-2015,4747.513041,3711.629969,6807.821666,4540.4,4546.15,4508.66,4514.01,8336.25,8423.15,8329.5,8398
26-06-2015,4746.467538,3683.836671,6753.699744,4514.37,4523.97,4469.23,4484.28,8393.95,8408.55,8339.7,8381.1
29-06-2015,4684.191241,3614.2313,6620.478494,4433.11,4460.08,4377.23,4379.86,8247.05,8329.45,8195.65,8318.4
30-06-2015,4677.049774,3570.58025,6520.975827,4414.86,4420.5,4381.94,4396.76,8316.35,8378,8298.95,8368.5
01-07-2015,4700.341729,3615.73635,6608.586143,4433.79,4445.9,4409.42,4429.23,8376.25,8481.6,8370.15,8453.05
02-07-2015,4710.903479,3624.501622,6630.467017,4440.17,4445.83,4417.48,4433.39,8471.95,8479.25,8433.2,8444.9
03-07-2015,4708.011035,3602.467114,6585.77628,0,0,0,4433.39,8440.1,8497.75,8424.15,8484.9
06-07-2015,4677.753381,3573.97908,6535.676113,4394.44,4444.41,4394.44,4418.66,8386.15,8533.15,8386.15,8522.15
07-07-2015,4636.763443,3519.884397,6432.213771,4422.75,4434.91,4344.15,4429.06,8525.5,8561.35,8483.85,8510.8
08-07-2015,4629.364285,3541.743131,6490.696851,4392.51,4403.13,4346.42,4351.58,8439.2,8457.5,8341.4,8363.05
09-07-2015,4649.815541,3588.19488,6581.630783,4410.27,4414.43,4351.51,4352.03,8364.85,8400.3,8323,8328.55
10-07-2015,4681.162669,3635.548442,6673.380176,4405.99,4434.11,4394.01,4420.15,8365.7,8377.1,8315.4,8360.55
13-07-2015,4699.43392,3671.801175,6737.950343,4457.76,4498.74,4456.54,4494.47,8397.25,8471.65,8355.4,8459.65
14-07-2015,4703.054098,3676.511752,6753.746023,4503.2,4537.21,4500.66,4523.47,8470.6,8480.25,8424.1,8454.1
15-07-2015,4707.627401,3676.459152,6753.751156,4531.32,4547.18,4517.4,4528.36,8463.4,8531.4,8462.95,8523.8
16-07-2015,4727.813151,3700.009408,6796.447356,4567.06,4595.02,4558.32,4594.9,8546.15,8616.1,8542.9,8608.05
17-07-2015,4735.219177,3690.58204,6775.08301,4635.48,4661.6,4624.68,4661.6,8623.65,8642.95,8593.15,8609.85
20-07-2015,4738.318495,3697.470137,6788.691808,4670.23,4694.13,4657.98,4679.68,8623.9,8624.1,8559,8603.45
21-07-2015,4734.273771,3687.935829,6769.071823,4679.54,4686.36,4661.76,4674.41,8601.5,8646.75,8517.9,8529.45
22-07-2015,4722.689432,3639.517879,6667.344288,4604.97,4643.83,4604.53,4623.24,8512.25,8643.9,8498.65,8633.5
23-07-2015,4728.56752,3633.396833,6655.005435,4627.56,4641.58,4592.49,4602.83,8643.95,8654.75,8573.8,8589.8
24-07-2015,4706.147491,3595.905738,6579.809586,4630.95,4632.06,4552.4,4557.37,8588.15,8589.15,8513.5,8521.55
27-07-2015,4671.209974,3554.479021,6505.125209,4530.37,4551.99,4511.92,4519.09,8492.1,8492.2,8351.55,8361
28-07-2015,4656.453991,3580.036175,6555.27975,4539.47,4568.79,4506.19,4560.23,8371.1,8397.4,8321.75,8337
29-07-2015,4697.746821,3618.446403,6630.996018,4570.5,4586.78,4552.76,4581.6,8365.6,8381.5,8338.45,8375.05
30-07-2015,4699.532325,3635.278024,6668.871036,4570.77,4606.65,4540.98,4598.59,8417,8458.9,8408.3,8421.8
31-07-2015,4707.722573,3652.78982,6696.278395,4616.48,4616.48,4584.22,4588.91,8456.1,8548.95,8448,8532.85
03-08-2015,4705.530581,3649.144642,6688.623849,4595.26,4607.52,4549.6,4580.46,8510.65,8563.95,8508.1,8543.05
04-08-2015,4716.357689,3650.747678,6686.567743,4573.25,4584.45,4551.9,4567.47,8564.1,8565.15,8448.25,8516.9
05-08-2015,4730.293224,3681.205984,6752.408877,4592.81,4634.7,4590.19,4602.24,8547.45,8591.85,8545.85,8567.95
06-08-2015,4725.923158,3677.766485,6747.087657,4608.69,4612.62,4508.3,4528.51,8585.8,8606.3,8551.5,8588.65
07-08-2015,4722.575496,3662.137669,6718.488443,4519.36,4532.46,4485.5,4520.08,8580.8,8595.95,8552.7,8564.6
10-08-2015,4735.241392,3673.805795,6736.216747,4558.68,4583.63,4554.63,4573.11,8577,8621.55,8497.8,8525.6
