Date,Food_Index,Energy_Index,Housing_Index
2015-01-01,242.358,190.941,232.167
2015-02-01,242.026,195.436,232.601
2015-03-01,240.896,204.335,232.9
2015-04-01,240.587,203.43,233.139
2015-05-01,240.2,214.808,233.512
2015-06-01,240.826,221.313,235.032
2015-07-01,241.466,220.361,235.424
2015-08-01,242.163,213.337,235.747
2015-09-01,242.751,200.968,236.088
2015-10-01,242.97,193.844,235.733
2015-11-01,241.349,188.393,235.695
2015-12-01,240.433,182.168,235.946
2016-01-01,240.924,178.755,236.811
2016-02-01,241.006,170.132,237.246
2016-03-01,239.395,177.63,237.658
2016-04-01,239.73,184.624,237.904
2016-05-01,238.341,191.895,238.883
2016-06-01,237.57,199.5,240.424
2016-07-01,237.382,194.868,241.153
2016-08-01,237.238,192.303,241.692
2016-09-01,237.326,194.654,242.369
2016-10-01,237.317,193.715,242.392
2016-11-01,235.998,190.106,242.443
2016-12-01,235.574,192.103,243.031
2017-01-01,236.372,198.579,244.133
2017-02-01,236.915,197.074,244.847
2017-03-01,237.272,197.594,245.098
2017-04-01,237.624,202.011,245.601
2017-05-01,237.894,202.027,246.454
2017-06-01,237.463,203.38,247.854
2017-07-01,238.094,201.183,248.173
2017-08-01,238.096,204.783,248.9
2017-09-01,238.392,215.126,249.261
2017-10-01,238.717,206.393,249.267
2017-11-01,237.524,208.704,249.487
2017-12-01,237.691,205.554,250.238
2018-01-01,238.966,209.7,251.133
2018-02-01,238.327,212.601,251.946
2018-03-01,238.272,211.696,252.449
2018-04-01,239.262,218.573,253.015
2018-05-01,238.285,227.253,253.94
2018-06-01,238.261,229.553,254.84
2018-07-01,238.912,227.273,255.345
2018-08-01,239.205,227.117,256.061
2018-09-01,239.371,226.333,256.076
2018-10-01,239.07,225.965,256.405
2018-11-01,238.631,215.267,256.739
2018-12-01,239.21,204.327,257.605
2019-01-01,240.63,198.735,258.48
2019-02-01,241.245,201.171,259.071
2019-03-01,241.693,210.922,259.803
2019-04-01,241.154,222.562,260.333
2019-05-01,241.256,226.114,260.983
2019-06-01,240.642,221.237,262.337
2019-07-01,240.664,222.509,262.981
2019-08-01,240.49,216.638,263.156
2019-09-01,240.807,214.986,263.734
2019-10-01,241.67,215.943,263.786
2019-11-01,240.863,214.004,263.944
2019-12-01,241.033,212.138,264.317
2020-01-01,242.411,212.106,265.528
2020-02-01,243.305,207.313,266.227
2020-03-01,244.363,198.193,266.266
2020-04-01,251.055,180.701,266.34
2020-05-01,253.467,180.999,267.019
2020-06-01,254.653,191.706,268.062
2020-07-01,252.231,196.169,268.646
2020-08-01,251.858,195.944,269.09
2020-09-01,250.765,197.428,269.391
2020-10-01,251.356,194.954,269.363
2020-11-01,249.776,192.499,269.743
2020-12-01,250.566,196.335,270.084
2021-01-01,251.445,203.727,270.589
2021-02-01,252.128,212.098,271.341
2021-03-01,252.698,225.42,272.104
2021-04-01,254.252,228.861,273.199
2021-05-01,255.085,235.404,274.641
2021-06-01,257.053,240.908,276.339
2021-07-01,258.885,245.157,277.424
2021-08-01,259.568,246.935,278.304
2021-09-01,262.641,248.485,279.77
2021-10-01,265.368,255.485,281.548
2021-11-01,266.272,259.245,282.461
2021-12-01,267.402,256.048,283.659
2022-01-01,270.459,259.954,286.121
2022-02-01,274.307,267.677,287.639
2022-03-01,278.54,300.079,289.577
2022-04-01,282.064,300.087,291.285
2022-05-01,285.826,318.929,293.946
2022-06-01,288.837,344.21,297.309
2022-07-01,292.737,327.796,298.842
2022-08-01,294.836,305.879,301.184
2022-09-01,296.642,297.343,303.281
2022-10-01,298.119,300.73,304.389
2022-11-01,298.14,292.029,305.277
2022-12-01,298.793,272.372,307.346
2023-01-01,300.985,281.404,310.622
2023-02-01,301.963,280.098,311.833
2023-03-01,301.3,278.248,312.74
2023-04-01,301.898,283.757,313.432
2023-05-01,302.052,280.151,314.256
2023-06-01,302.071,283.964,316.138
2023-07-01,303.138,285.068,317.162
2023-08-01,303.517,295.157,318.045
2023-09-01,303.698,296.707,319.668
2023-10-01,304.522,286.777,320.321
2023-11-01,302.95,275.873,321.136
2023-12-01,302.702,267.514,322.16
2024-01-01,304.676,268.375,324.634
2024-02-01,305.014,274.784,326.006
2024-03-01,305.221,284.395,327.43
2024-04-01,305.383,290.951,327.834
2024-05-01,305.409,290.032,328.809
2024-06-01,305.55,285.711,330.017
2024-07-01,306.409,287.135,331.04
2024-08-01,306.297,281.388,331.829
2024-09-01,307.693,274.106,332.743
2024-10-01,307.838,271.322,333.545
2024-11-01,307.651,266.058,334.158
2024-12-01,308.197,265.478,334.99
2025-01-01,310.828,270.465,336.927
2025-02-01,311.043,273.396,338.229
2025-03-01,312.738,273.457,339.579
2025-04-01,311.496,278.221,340.673
2025-05-01,311.932,278.25,341.783
2025-06-01,,,
2025-07-01,,,
2025-08-01,,,
2025-09-01,,,
2025-10-01,,,
2025-11-01,,,
2025-12-01,,,
